job_code,supervisor,unit,job_name,recruit_count,stage,subject,is_core_it,is_adjacent_digital,exam_method,user_type,edu_req,序号,招聘单位,岗位名称,招聘人数,applicants,confirmed,approved,confirmed_ratio_text,confirmed_per_recruit,approved_per_recruit
260911,青秀区教育局,南宁市民主路小学,小学信息技术教师 （聘用教师控制数）,1,小学,信息技术,True,False,笔试+面试,聘用教师控制数,大学本科及以上,911,南宁市民主路小学,"小学信息技术教师
（聘用教师控制数）",1,95,94,64,94:1,94.0,64.0
261095,良庆区教育局,良庆区各小学,小学信息技术教师 （聘用教师控制数）,1,小学,信息技术,True,False,笔试+面试,聘用教师控制数,大学本科及以上,1095,良庆区各小学,"小学信息技术教师
（聘用教师控制数）",1,50,50,28,50:1,50.0,28.0
260933,青秀区教育局,南宁市仙葫学校,初中信息技术教师 （聘用教师控制数）,1,初中,信息技术,True,False,笔试+面试,聘用教师控制数,大学本科及以上,933,南宁市仙葫学校,"初中信息技术教师
（聘用教师控制数）",1,39,37,31,37:1,37.0,31.0
260735,兴宁区教育局,南宁市兴宁区天德路学校,初中信息技术教师 （聘用教师控制数）,1,初中,信息技术,True,False,笔试+面试,聘用教师控制数,大学本科及以上,735,南宁市兴宁区天德路学校,"初中信息技术教师
（聘用教师控制数）",1,32,30,17,30:1,30.0,17.0
260079,南宁市教育局,南宁市第三中学,初中信息技术教师 （聘用教师控制数）,1,初中,信息技术,True,False,笔试+面试,聘用教师控制数,大学本科及以上,79,南宁市第三中学,"初中信息技术教师
（聘用教师控制数）",1,27,27,9,27:1,27.0,9.0
260124,南宁市教育局,南宁市第六职业技术学校,中职计算机教师一 （教职人员控制数）,1,中职,计算机,False,True,笔试+面试,中职学校教职人员控制数,大学本科及以上,124,南宁市第六职业技术学校,"中职计算机教师一
（教职人员控制数）",1,19,19,11,19:1,19.0,11.0
261119,武鸣区教育局,南宁市武鸣区职业技术学校,中职工业机器人专业教师 （教职人员控制数）,1,中职,未识别,False,True,笔试+面试,中职学校教职人员控制数,大学本科及以上,1119,南宁市武鸣区职业技术学校,"中职工业机器人专业教师
（教职人员控制数）",1,18,18,13,18:1,18.0,13.0
260231,南宁市教育局,南宁市第十四中学,中学信息技术教师 （聘用教师控制数）,1,中学,信息技术,True,False,笔试+面试,聘用教师控制数,大学本科及以上,231,南宁市第十四中学,"中学信息技术教师
（聘用教师控制数）",1,13,13,10,13:1,13.0,10.0
260023,南宁市教育局,南宁市第二中学,中学信息技术教师,1,中学,信息技术,True,False,直接面试,实名编,大学本科及以上,23,南宁市第二中学,中学信息技术教师,1,14,13,6,13:1,13.0,6.0
261046,西乡塘区教育局,南宁市西大附属学校,小学信息技术教师 （聘用教师控制数）,1,小学,信息技术,True,False,直接面试,聘用教师控制数,大学本科及以上,1046,南宁市西大附属学校,"小学信息技术教师
（聘用教师控制数）",1,10,10,7,10:1,10.0,7.0
260592,马山县教育局,马山县民族职业技术学校（马山县综合高级中学）,高中信息技术教师,1,高中,信息技术,True,False,笔试+面试,实名编,大学本科及以上,592,马山县民族职业技术学校（马山县综合高级中学）,高中信息技术教师,1,10,9,7,9:1,9.0,7.0
260614,隆安县教育局,隆安县隆安中学,高中信息技术教师,2,高中,信息技术,True,False,笔试+面试,实名编,大学本科及以上,614,隆安县隆安中学,高中信息技术教师,2,18,17,9,17:2,8.5,4.5
260285,南宁市教育局,南宁市第三职业技术学校,中职计算机教师 （教职人员控制数）,1,中职,计算机,False,True,直接面试,中职学校教职人员控制数,大学本科及以上,285,南宁市第三职业技术学校,"中职计算机教师
（教职人员控制数）",1,8,8,6,8:1,8.0,6.0
260633,隆安县教育局,隆安县职业技术学校,中职信息技术教师,1,中职,信息技术,True,False,笔试+面试,实名编,大学本科及以上,633,隆安县职业技术学校,中职信息技术教师,1,8,8,6,8:1,8.0,6.0
260096,南宁市教育局,南宁市第四中学,中学信息技术教师 （聘用教师控制数）,1,中学,信息技术,True,False,直接面试,聘用教师控制数,研究生,96,南宁市第四中学,"中学信息技术教师
（聘用教师控制数）",1,8,8,3,8:1,8.0,3.0
260531,宾阳县教育局,宾阳县黎塘镇第一初级中学,初中信息技术教师,1,初中,信息技术,True,False,笔试+面试,实名编,大学本科及以上,531,宾阳县黎塘镇第一初级中学,初中信息技术教师,1,7,7,3,7:1,7.0,3.0
260417,南宁市教育局,南宁市中小学校外教育活动中心,信息技术教师,1,未标注,信息技术,True,False,直接面试,实名编,研究生,417,南宁市中小学校外教育活动中心,信息技术教师,1,6,6,5,6:1,6.0,5.0
260440,宾阳县教育局,宾阳县开智中学,高中信息技术教师,1,高中,信息技术,True,False,笔试+面试,实名编,大学本科及以上,440,宾阳县开智中学,高中信息技术教师,1,8,6,5,6:1,6.0,5.0
260517,宾阳县教育局,宾阳县敷文中学,初中信息技术教师,1,初中,信息技术,True,False,笔试+面试,实名编,大学本科及以上,517,宾阳县敷文中学,初中信息技术教师,1,6,6,5,6:1,6.0,5.0
