year,supervisor,recruit_count
2022,南宁经济技术开发区文体教育局,23
2022,南宁市青秀区教育局,19
2022,南宁市西乡塘区教育局,13
2022,南宁市良庆区教育局,8
2022,横州市教育局,8
2022,南宁市兴宁区教育局,6
2022,南宁高新技术产业开发区管理委员会,6
2022,南宁市邕宁区教育局,5
2022,南宁市宾阳县教育局,3
2022,南宁市江南区教育局,1
2022,广西-东盟经济技术开发区教育文体局,1
2023,南宁经济技术开发区文体教育局,11
2023,南宁市良庆区教育局,3
2023,南宁高新技术产业开发区教育局,3
2023,广西-东盟经济技术开发区管理委员会,3
2023,南宁市江南区教育局,2
2023,南宁市兴宁区教育局,1
2023,南宁市宾阳县教育局,1
2023,南宁市隆安县教育局,1
2024,南宁市兴宁区教育局,4
2024,南宁市江南区教育局,3
2024,南宁市西乡塘区教育局,2
2025,西乡塘区教育局,10
2025,南宁市教育局,9
2025,青秀区教育局,7
2025,高新技术产业开发区教育局,5
2025,兴宁区教育局,3
2025,横州市教育局,3
2025,隆安县教育局,3
2025,江南区教育局,2
2025,马山县教育局,1
2026,宾阳县教育局,6
2026,南宁市教育局,5
2026,隆安县教育局,3
2026,青秀区教育局,2
2026,兴宁区教育局,1
2026,良庆区教育局,1
2026,西乡塘区教育局,1
2026,马山县教育局,1
